country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Czechia,CZE,2021-01-23 00:00:00,199589,188426,11163,3652,11737,1.86,1.76,0.1,1096,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-24 00:00:00,202591,190573,12018,3002,11731,1.89,1.78,0.11,1095,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-25 00:00:00,214843,199929,14914,12252,11530,2.01,1.87,0.14,1077,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-26 00:00:00,228991,210156,18835,14148,11455,2.14,1.96,0.18,1070,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-27 00:00:00,242186,218921,23265,13195,11145,2.26,2.04,0.22,1041,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-28 00:00:00,255147,225873,29274,12961,10640,2.38,2.11,0.27,994,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-29 00:00:00,268795,231869,36926,13648,10408,2.51,2.17,0.34,972,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-30 00:00:00,270555,232581,37974,1760,10138,2.53,2.17,0.35,947,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-31 00:00:00,272369,233275,39094,1814,9968,2.54,2.18,0.37,931,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-02-01 00:00:00,283365,236894,46471,10996,9789,2.65,2.21,0.43,914,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-02-02 00:00:00,296940,240699,56241,13575,9707,2.77,2.25,0.53,906,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-02-03 00:00:00,310340,244424,65916,13400,9736,2.9,2.28,0.62,909,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,2021-01-15 00:00:00,165550,165545,5,15191,7083,2.86,2.86,0,1223,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-16 00:00:00,170154,170142,12,4604,7469,2.94,2.94,0,1289,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-17 00:00:00,173420,172682,738,3266,7819,2.99,2.98,0.01,1350,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-18 00:00:00,179453,176554,2899,6033,8587,3.1,3.05,0.05,1483,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-19 00:00:00,184072,179046,5026,4619,9181,3.18,3.09,0.09,1585,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-20 00:00:00,187504,180563,6941,3432,7860,3.24,3.12,0.12,1357,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-21 00:00:00,191386,182088,9298,3882,5861,3.3,3.14,0.16,1012,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-22 00:00:00,197764,182748,15016,6378,4602,3.41,3.16,0.26,795,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-23 00:00:00,205679,183526,22153,7915,5075,3.55,3.17,0.38,876,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-24 00:00:00,212894,184144,28750,7215,5639,3.68,3.18,0.5,974,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-25 00:00:00,215611,184388,31223,2717,5165,3.72,3.18,0.54,892,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-26 00:00:00,217563,184603,32960,1952,4784,3.76,3.19,0.57,826,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-27 00:00:00,222182,184815,37367,4619,4954,3.84,3.19,0.65,855,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-28 00:00:00,230522,185063,45459,8340,5591,3.98,3.2,0.78,965,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-29 00:00:00,249249,186162,63087,18727,7355,4.3,3.21,1.09,1270,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
